beta,load_comb,d,f_cck,chi1,chi2,rho,d_lower,a_to_d_ratio,weight
4.54169107766818,traffic,300,20,0.4,0,0.015,16,3,1
4.7054412185942,traffic,300,20,0.5,0,0.015,16,3,0.7692
4.85423166350718,traffic,300,20,0.6,0,0.015,16,3,0.2564
4.97991779503996,traffic,300,20,0.7,0,0.015,16,3,0.0769
5.07568279789974,traffic,300,20,0.8,0,0.015,16,3,0
5.13893120042546,traffic,300,20,0.9,0,0.015,16,3,0
4.01205073841354,traffic,450,20,0.1,0,0.015,16,3,0
4.18398243601666,traffic,450,20,0.2,0,0.015,16,3,0.2564
4.35782851155254,traffic,450,20,0.3,0,0.015,16,3,0.9295
4.52933322299394,traffic,450,20,0.4,0,0.015,16,3,1
4.69320366716095,traffic,450,20,0.5,0,0.015,16,3,0.7692
4.84215207034229,traffic,450,20,0.6,0,0.015,16,3,0.2564
4.96804436159511,traffic,450,20,0.7,0,0.015,16,3,0.0769
5.06406821985709,traffic,450,20,0.8,0,0.015,16,3,0
5.12761680516642,traffic,450,20,0.9,0,0.015,16,3,0
4.00497834995913,traffic,600,20,0.1,0,0.015,16,3,0
4.17691668046329,traffic,600,20,0.2,0,0.015,16,3,0.2564
4.35077709183898,traffic,600,20,0.3,0,0.015,16,3,0.9295
4.52231255168222,traffic,600,20,0.4,0,0.015,16,3,1
4.68623247538962,traffic,600,20,0.5,0,0.015,16,3,0.7692
4.83525691740367,traffic,600,20,0.6,0,0.015,16,3,0.2564
4.96126032643547,traffic,600,20,0.7,0,0.015,16,3,0.0769
5.05743439974812,traffic,600,20,0.8,0,0.015,16,3,0
5.12116465682152,traffic,600,20,0.9,0,0.015,16,3,0
4.00041285543939,traffic,750,20,0.1,0,0.015,16,3,0
4.17234817015476,traffic,750,20,0.2,0,0.015,16,3,0.2564
4.34621021375127,traffic,750,20,0.3,0,0.015,16,3,0.9295
4.51775841116415,traffic,750,20,0.4,0,0.015,16,3,1
4.68170413659333,traffic,750,20,0.5,0,0.015,16,3,0.7692
4.83077332532784,traffic,750,20,0.6,0,0.015,16,3,0.2564
4.95684678561255,traffic,750,20,0.7,0,0.015,16,3,0.0769
5.05311930587416,traffic,750,20,0.8,0,0.015,16,3,0
